City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
okakarara,-20.5833,17.4333,70.0,58,77,2.44,NA,1611873976
spokane,47.6166,-117.3677,42.8,61,90,1.61,US,1611873972
punta arenas,-53.15,-70.9167,46.4,66,75,17.27,CL,1611873977
ismailia,30.6043,32.2723,53.06,42,59,14.5,EG,1611873889
nehe,48.4833,124.8333,-19.28,85,0,2.51,CN,1611873977
illoqqortoormiut,0.0,0.0,0.0,0,0,0.0,0,0
vaini,-21.2,-175.2,80.89,82,100,32.99,TO,1611873977
atuona,-9.8,-139.0333,78.69,77,18,18.05,PF,1611873977
salalah,17.0151,54.0924,71.6,60,40,2.3,OM,1611873977
rikitea,-23.1203,-134.9692,79.93,69,93,8.5,PF,1611873977
qaanaaq,77.484,-69.3632,-13.4,66,0,9.15,GL,1611873977
tire,38.0888,27.7351,32.0,100,90,3.44,TR,1611873978
huanuco,-9.9329,-76.2415,69.87,57,55,7.49,PE,1611873862
westport,41.1415,-73.3579,28.99,37,1,10.36,US,1611873978
airai,-8.9266,125.4092,62.74,100,100,5.26,TL,1611873978
port alfred,-33.5906,26.891,66.99,75,2,4.0,ZA,1611873978
havelock,34.8791,-76.9013,37.4,60,40,24.16,US,1611873978
albany,42.6001,-73.9662,19.0,51,35,5.99,US,1611873924
poum,-20.2333,164.0167,81.18,76,23,7.31,NC,1611873978
cidreira,-30.1811,-50.2056,72.64,91,100,14.36,BR,1611873978
kaharlyk,49.8623,30.8282,30.2,93,90,11.18,UA,1611873979
haibowan,0.0,0.0,0.0,0,0,0.0,0,0
riverton,40.5219,-111.9391,48.2,53,1,16.11,US,1611873841
conceicao da barra,-18.5933,-39.7322,76.89,81,0,6.64,BR,1611873979
saint-joseph,-21.3667,55.6167,75.99,74,13,2.82,RE,1611873979
ushuaia,-54.8,-68.3,44.6,70,75,26.46,AR,1611873979
viligili,0.0,0.0,0.0,0,0,0.0,0,0
margate,51.3813,1.3862,51.01,87,100,4.0,GB,1611873979
padang,-0.9492,100.3543,75.2,88,75,2.3,ID,1611873979
goderich,43.7501,-81.7165,21.2,68,100,19.57,CA,1611873842
attawapiskat,0.0,0.0,0.0,0,0,0.0,0,0
port elizabeth,-33.918,25.5701,60.8,88,0,4.61,ZA,1611873980
carnarvon,-24.8667,113.6333,73.4,83,0,12.66,AU,1611873980
asfi,32.2994,-9.2372,62.13,79,0,2.84,MA,1611873980
hofn,64.2539,-15.2082,29.44,90,6,6.06,IS,1611873980
arinos,-15.9169,-46.1056,73.6,55,85,3.89,BR,1611873980
hobart,-42.8794,147.3294,63.0,59,90,11.5,AU,1611873724
severo-kurilsk,50.6789,156.125,27.7,92,69,9.01,RU,1611873969
arraial do cabo,-22.9661,-42.0278,78.62,78,99,25.1,BR,1611873981
rutland,43.6167,-73.0162,17.6,79,90,9.22,US,1611873981
saint-denis,48.9167,2.3333,54.0,94,90,13.8,FR,1611873981
alofi,-19.0595,-169.9187,78.8,89,90,10.36,NU,1611873981
villazon,-22.0866,-65.5942,62.85,28,63,6.69,BO,1611873981
port hedland,-20.3167,118.5667,80.6,89,0,4.61,AU,1611873981
port lincoln,-34.7333,135.8667,66.36,77,69,8.48,AU,1611873981
butaritari,3.0707,172.7902,80.62,79,93,16.71,KI,1611873981
hermanus,-34.4187,19.2345,55.99,89,23,1.01,ZA,1611873981
castro,-24.7911,-50.0119,66.45,95,100,3.44,BR,1611873981
raudeberg,61.9875,5.1352,33.01,73,100,20.24,NO,1611873982
black river,18.0264,-77.8487,82.0,77,64,5.99,JM,1611873982
tsihombe,0.0,0.0,0.0,0,0,0.0,0,0
uyskoye,54.3775,60.0047,12.09,92,100,7.96,RU,1611874047
bredasdorp,-34.5322,20.0403,57.2,77,2,3.44,ZA,1611874047
torbay,47.6666,-52.7314,24.01,86,90,12.66,CA,1611873792
vaitupu,0.0,0.0,0.0,0,0,0.0,0,0
crab hill,0.0,0.0,0.0,0,0,0.0,0,0
grafton,42.207,-71.6856,30.0,54,90,14.97,US,1611874047
clyde river,70.4692,-68.5914,-18.4,83,20,3.44,CA,1611874047
mataura,-46.1927,168.8643,48.0,80,97,8.01,NZ,1611874047
hithadhoo,-0.6,73.0833,81.79,71,83,10.22,MV,1611874048
sangar,63.9242,127.4739,-54.0,72,63,3.74,RU,1611874048
new norfolk,-42.7826,147.0587,63.0,56,95,4.0,AU,1611874048
port hardy,50.6996,-127.4199,42.8,75,20,3.44,CA,1611874048
victoria,22.2855,114.1577,59.0,57,18,1.01,HK,1611873949
jalu,29.0331,21.5482,53.04,85,14,10.02,LY,1611874048
kichmengskiy gorodok,59.9816,45.7854,25.79,98,100,7.49,RU,1611874048
wattegama,6.7989,81.4808,71.98,92,100,3.85,LK,1611874048
taolanaro,0.0,0.0,0.0,0,0,0.0,0,0
hambantota,6.1241,81.1185,76.14,86,68,4.32,LK,1611874049
cherskiy,68.75,161.3,-29.72,85,72,2.75,RU,1611874049
los llanos de aridane,28.6585,-17.9182,64.99,88,0,6.91,ES,1611874049
olafsvik,64.8945,-23.7142,29.21,87,70,3.78,IS,1611874049
sola,-13.8833,167.55,82.74,73,100,3.94,VU,1611874049
san juan,-31.5375,-68.5364,85.77,20,67,10.04,AR,1611874050
camana,-16.6228,-72.7111,72.48,68,0,6.62,PE,1611874050
te anau,-45.4167,167.7167,47.77,75,83,3.27,NZ,1611874050
cururupu,-1.8283,-44.8683,76.95,85,97,3.27,BR,1611874050
busselton,-33.65,115.3333,60.01,96,0,14.05,AU,1611874050
