City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
mecca,21.4267,39.8261,25.57,62,7,6.56,SA,1611849601
rikitea,-23.1203,-134.9692,26.13,69,16,1.5,PF,1611849708
kapaa,22.0752,-159.319,23.0,68,90,9.77,US,1611849886
tasiilaq,65.6145,-37.6368,-3.0,86,90,10.8,GL,1611849886
punta arenas,-53.15,-70.9167,11.0,62,75,11.83,CL,1611849887
los llanos de aridane,28.6585,-17.9182,22.0,73,0,2.06,ES,1611849887
souris,49.6172,-100.2612,-13.89,78,75,6.17,CA,1611849887
avarua,-21.2078,-159.775,26.0,83,20,2.57,CK,1611849887
saint-augustin,51.226,-58.6502,-7.39,92,37,4.43,CA,1611849887
mahebourg,-20.4081,57.7,27.0,74,40,2.57,MU,1611849801
butaritari,3.0707,172.7902,27.2,81,90,8.33,KI,1611849887
ushuaia,-54.8,-68.3,7.0,81,90,3.09,AR,1611849661
thanh hoa,19.8,105.7667,16.83,74,78,1.66,VN,1611849888
kahului,20.8947,-156.47,22.0,68,40,9.26,US,1611849888
ayan,56.45,138.1667,-24.69,78,100,3.74,RU,1611849888
saskylakh,71.9167,114.0833,-41.56,79,39,1.76,RU,1611849888
codrington,-38.2667,141.9667,19.13,92,100,5.73,AU,1611849888
